US-HOUSE-AR-04,Elections - US House District,AR,,4,James Russell,Bruce Westerman,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AR-04 House seat?; Will the Democratic Party win the AR-04 House seat?; Will another party win the AR-04 House seat?; Will A win the AR-04 House seat?; Will B win the AR-04 House seat?; Will C win the AR-04 House seat?; Will D win the AR-04 House seat?; Will E win the AR-04 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-01,Elections - US House District,AZ,,1,Amish Shah,Jay Feely,Amish Shah,HOUSEAZ1-26-D,0.7,0.71,6224.17,500.33,2027-11-03T15:00:00Z,active,ok,Jay Feely,HOUSEAZ1-26-R,0.3,0.31,74.63,380.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-01 House seat?; Will the Democratic Party win the AZ-01 House seat?; Will another party win the AZ-01 House seat?; Will A win the AZ-01 House seat?; Will B win the AZ-01 House seat?; Will C win the AZ-01 House seat?; Will D win the AZ-01 House seat?; Will E win the AZ-01 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-02,Elections - US House District,AZ,,2,Jonathan Nez,Eli Crane,Jonathan Nez,HOUSEAZ2-26-D,0.28,0.3,404.84,283.0,2027-11-03T15:00:00Z,active,ok,Eli Crane,HOUSEAZ2-26-R,0.71,0.72,952.0,10.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-02 House seat?; Will the Democratic Party win the AZ-02 House seat?; Will another party win the AZ-02 House seat?; Will A win the AZ-02 House seat?; Will B win the AZ-02 House seat?; Will C win the AZ-02 House seat?; Will D win the AZ-02 House seat?; Will E win the AZ-02 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-03,Elections - US House District,AZ,,3,Yassamin Ansari,(no Republican filed),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-03 House seat?; Will the Democratic Party win the AZ-03 House seat?; Will another party win the AZ-03 House seat?; Will A win the AZ-03 House seat?; Will B win the AZ-03 House seat?; Will C win the AZ-03 House seat?; Will D win the AZ-03 House seat?; Will E win the AZ-03 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-04,Elections - US House District,AZ,,4,Greg Stanton,Zuhdi Jasser,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-04 House seat?; Will the Democratic Party win the AZ-04 House seat?; Will another party win the AZ-04 House seat?; Will A win the AZ-04 House seat?; Will B win the AZ-04 House seat?; Will C win the AZ-04 House seat?; Will D win the AZ-04 House seat?; Will E win the AZ-04 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-05,Elections - US House District,AZ,,5,Elizabeth Lee,Mark Lamb,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-05 House seat?; Will the Democratic Party win the AZ-05 House seat?; Will another party win the AZ-05 House seat?; Will A win the AZ-05 House seat?; Will B win the AZ-05 House seat?; Will C win the AZ-05 House seat?; Will D win the AZ-05 House seat?; Will E win the AZ-05 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-06,Elections - US House District,AZ,,6,JoAnna Mendoza,Juan Ciscomani,JoAnna Mendoza,HOUSEAZ6-26-D,0.79,0.84,494.71,0.24,2027-11-03T15:00:00Z,active,ok,Juan Ciscomani,HOUSEAZ6-26-R,0.15,0.19,200.0,875.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-06 House seat?; Will the Democratic Party win the AZ-06 House seat?; Will another party win the AZ-06 House seat?; Will A win the AZ-06 House seat?; Will B win the AZ-06 House seat?; Will C win the AZ-06 House seat?; Will D win the AZ-06 House seat?; Will E win the AZ-06 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-07,Elections - US House District,AZ,,7,Adelita Grijalva,Daniel Butierez,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-07 House seat?; Will the Democratic Party win the AZ-07 House seat?; Will another party win the AZ-07 House seat?; Will A win the AZ-07 House seat?; Will B win the AZ-07 House seat?; Will C win the AZ-07 House seat?; Will D win the AZ-07 House seat?; Will E win the AZ-07 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-08,Elections - US House District,AZ,,8,Bernadette Greene-Placentia,Abraham Hamadeh,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-08 House seat?; Will the Democratic Party win the AZ-08 House seat?; Will another party win the AZ-08 House seat?; Will A win the AZ-08 House seat?; Will B win the AZ-08 House seat?; Will C win the AZ-08 House seat?; Will D win the AZ-08 House seat?; Will E win the AZ-08 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AZ-09,Elections - US House District,AZ,,9,Danielle Sterbinsky,Paul Gosar,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AZ-09 House seat?; Will the Democratic Party win the AZ-09 House seat?; Will another party win the AZ-09 House seat?; Will A win the AZ-09 House seat?; Will B win the AZ-09 House seat?; Will C win the AZ-09 House seat?; Will D win the AZ-09 House seat?; Will E win the AZ-09 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-01,Elections - US House District,CA,,1,Mike McGuire,James Gallagher,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-01 House seat?; Will the Democratic Party win the CA-01 House seat?; Will another party win the CA-01 House seat?; Will A win the CA-01 House seat?; Will B win the CA-01 House seat?; Will C win the CA-01 House seat?; Will D win the CA-01 House seat?; Will E win the CA-01 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-02,Elections - US House District,CA,,2,Jared Huffman,Robin Littau,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-02 House seat?; Will the Democratic Party win the CA-02 House seat?; Will another party win the CA-02 House seat?; Will A win the CA-02 House seat?; Will B win the CA-02 House seat?; Will C win the CA-02 House seat?; Will D win the CA-02 House seat?; Will E win the CA-02 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-03,Elections - US House District,CA,,3,Amerish Bera,Robb Tucker,Ami Bera,HOUSECA3-26-D,0.933,0.955,2270.58,300.0,2027-11-03T15:00:00Z,active,ok,Robb Tucker,HOUSECA3-26-R,0.037,0.077,300.0,833.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-03 House seat?; Will the Democratic Party win the CA-03 House seat?; Will another party win the CA-03 House seat?; Will A win the CA-03 House seat?; Will B win the CA-03 House seat?; Will C win the CA-03 House seat?; Will D win the CA-03 House seat?; Will E win the CA-03 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-04,Elections - US House District,CA,,4,Mike Thompson,(no Republican — top-two),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-04 House seat?; Will the Democratic Party win the CA-04 House seat?; Will another party win the CA-04 House seat?; Will A win the CA-04 House seat?; Will B win the CA-04 House seat?; Will C win the CA-04 House seat?; Will D win the CA-04 House seat?; Will E win the CA-04 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-05,Elections - US House District,CA,,5,Michael Masuda,Tom McClintock,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-05 House seat?; Will the Democratic Party win the CA-05 House seat?; Will another party win the CA-05 House seat?; Will A win the CA-05 House seat?; Will B win the CA-05 House seat?; Will C win the CA-05 House seat?; Will D win the CA-05 House seat?; Will E win the CA-05 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-06,Elections - US House District,CA,,6,Richard Pan,Kevin Kiley,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-06 House seat?; Will the Democratic Party win the CA-06 House seat?; Will another party win the CA-06 House seat?; Will A win the CA-06 House seat?; Will B win the CA-06 House seat?; Will C win the CA-06 House seat?; Will D win the CA-06 House seat?; Will E win the CA-06 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-07,Elections - US House District,CA,,7,Mai Vang,(no Republican — top-two),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-07 House seat?; Will the Democratic Party win the CA-07 House seat?; Will another party win the CA-07 House seat?; Will A win the CA-07 House seat?; Will B win the CA-07 House seat?; Will C win the CA-07 House seat?; Will D win the CA-07 House seat?; Will E win the CA-07 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-08,Elections - US House District,CA,,8,John Garamendi,Rudy Recile,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-08 House seat?; Will the Democratic Party win the CA-08 House seat?; Will another party win the CA-08 House seat?; Will A win the CA-08 House seat?; Will B win the CA-08 House seat?; Will C win the CA-08 House seat?; Will D win the CA-08 House seat?; Will E win the CA-08 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-09,Elections - US House District,CA,,9,Josh Harder,John McBride,Josh Harder,HOUSECA9-26-D,0.943,0.96,1341.0,300.0,2027-11-03T15:00:00Z,active,ok,John McBride,HOUSECA9-26-R,0.008,0.078,500.0,500.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-09 House seat?; Will the Democratic Party win the CA-09 House seat?; Will another party win the CA-09 House seat?; Will A win the CA-09 House seat?; Will B win the CA-09 House seat?; Will C win the CA-09 House seat?; Will D win the CA-09 House seat?; Will E win the CA-09 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-10,Elections - US House District,CA,,10,Mark DeSaulnier,Jeff Frese,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-10 House seat?; Will the Democratic Party win the CA-10 House seat?; Will another party win the CA-10 House seat?; Will A win the CA-10 House seat?; Will B win the CA-10 House seat?; Will C win the CA-10 House seat?; Will D win the CA-10 House seat?; Will E win the CA-10 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-11,Elections - US House District,CA,,11,Scott Wiener,(no Republican — top-two),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-11 House seat?; Will the Democratic Party win the CA-11 House seat?; Will another party win the CA-11 House seat?; Will A win the CA-11 House seat?; Will B win the CA-11 House seat?; Will C win the CA-11 House seat?; Will D win the CA-11 House seat?; Will E win the CA-11 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-12,Elections - US House District,CA,,12,Lateefah Simon,(no Republican — top-two),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-12 House seat?; Will the Democratic Party win the CA-12 House seat?; Will another party win the CA-12 House seat?; Will A win the CA-12 House seat?; Will B win the CA-12 House seat?; Will C win the CA-12 House seat?; Will D win the CA-12 House seat?; Will E win the CA-12 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-13,Elections - US House District,CA,,13,Adam Gray,Kevin Lincoln,Adam Gray,HOUSECA13-26-D,0.922,0.945,949.87,300.0,2027-11-03T15:00:00Z,active,ok,Kevin Lincoln,HOUSECA13-26-R,0.049,0.075,300.0,500.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-13 House seat?; Will the Democratic Party win the CA-13 House seat?; Will another party win the CA-13 House seat?; Will A win the CA-13 House seat?; Will B win the CA-13 House seat?; Will C win the CA-13 House seat?; Will D win the CA-13 House seat?; Will E win the CA-13 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-14,Elections - US House District,CA,,14,Aisha Wahab,(no Republican — top-two),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-14 House seat?; Will the Democratic Party win the CA-14 House seat?; Will another party win the CA-14 House seat?; Will A win the CA-14 House seat?; Will B win the CA-14 House seat?; Will C win the CA-14 House seat?; Will D win the CA-14 House seat?; Will E win the CA-14 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-15,Elections - US House District,CA,,15,Kevin Mullin,Charles Hoelter,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-15 House seat?; Will the Democratic Party win the CA-15 House seat?; Will another party win the CA-15 House seat?; Will A win the CA-15 House seat?; Will B win the CA-15 House seat?; Will C win the CA-15 House seat?; Will D win the CA-15 House seat?; Will E win the CA-15 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-16,Elections - US House District,CA,,16,Sam Liccardo,Peter Sundin Soulé,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-16 House seat?; Will the Democratic Party win the CA-16 House seat?; Will another party win the CA-16 House seat?; Will A win the CA-16 House seat?; Will B win the CA-16 House seat?; Will C win the CA-16 House seat?; Will D win the CA-16 House seat?; Will E win the CA-16 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-17,Elections - US House District,CA,,17,Rohit Khanna,Ritesh Tandon,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-17 House seat?; Will the Democratic Party win the CA-17 House seat?; Will another party win the CA-17 House seat?; Will A win the CA-17 House seat?; Will B win the CA-17 House seat?; Will C win the CA-17 House seat?; Will D win the CA-17 House seat?; Will E win the CA-17 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-18,Elections - US House District,CA,,18,Zoe Lofgren,Shane Lewis,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-18 House seat?; Will the Democratic Party win the CA-18 House seat?; Will another party win the CA-18 House seat?; Will A win the CA-18 House seat?; Will B win the CA-18 House seat?; Will C win the CA-18 House seat?; Will D win the CA-18 House seat?; Will E win the CA-18 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-19,Elections - US House District,CA,,19,Jimmy Panetta,Peter Verbica,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-19 House seat?; Will the Democratic Party win the CA-19 House seat?; Will another party win the CA-19 House seat?; Will A win the CA-19 House seat?; Will B win the CA-19 House seat?; Will C win the CA-19 House seat?; Will D win the CA-19 House seat?; Will E win the CA-19 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-20,Elections - US House District,CA,,20,Sandra Van Scotter,Vince Fong,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-20 House seat?; Will the Democratic Party win the CA-20 House seat?; Will another party win the CA-20 House seat?; Will A win the CA-20 House seat?; Will B win the CA-20 House seat?; Will C win the CA-20 House seat?; Will D win the CA-20 House seat?; Will E win the CA-20 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-21,Elections - US House District,CA,,21,Jim Costa,Kyle Kirkland,Jim Costa,HOUSECA21-26-D,0.901,0.94,3955.48,300.0,2027-11-03T15:00:00Z,active,ok,Kyle Kirkland,HOUSECA21-26-R,0.077,0.088,300.0,5000.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-21 House seat?; Will the Democratic Party win the CA-21 House seat?; Will another party win the CA-21 House seat?; Will A win the CA-21 House seat?; Will B win the CA-21 House seat?; Will C win the CA-21 House seat?; Will D win the CA-21 House seat?; Will E win the CA-21 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-22,Elections - US House District,CA,,22,Randy Villegas,David Valadao,Randy Villegas,HOUSECA22-26-D,0.86,0.88,500.0,11045.42,2027-11-03T15:00:00Z,active,ok,David Valadao,HOUSECA22-26-R,0.11,0.13,14.54,500.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-22 House seat?; Will the Democratic Party win the CA-22 House seat?; Will another party win the CA-22 House seat?; Will A win the CA-22 House seat?; Will B win the CA-22 House seat?; Will C win the CA-22 House seat?; Will D win the CA-22 House seat?; Will E win the CA-22 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-23,Elections - US House District,CA,,23,Tessa Lynn Hodge,Jay Obernolte,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-23 House seat?; Will the Democratic Party win the CA-23 House seat?; Will another party win the CA-23 House seat?; Will A win the CA-23 House seat?; Will B win the CA-23 House seat?; Will C win the CA-23 House seat?; Will D win the CA-23 House seat?; Will E win the CA-23 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-24,Elections - US House District,CA,,24,Salud Carbajal,Robert Smith,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-24 House seat?; Will the Democratic Party win the CA-24 House seat?; Will another party win the CA-24 House seat?; Will A win the CA-24 House seat?; Will B win the CA-24 House seat?; Will C win the CA-24 House seat?; Will D win the CA-24 House seat?; Will E win the CA-24 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-25,Elections - US House District,CA,,25,Raul Ruiz,Joe Males,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-25 House seat?; Will the Democratic Party win the CA-25 House seat?; Will another party win the CA-25 House seat?; Will A win the CA-25 House seat?; Will B win the CA-25 House seat?; Will C win the CA-25 House seat?; Will D win the CA-25 House seat?; Will E win the CA-25 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-26,Elections - US House District,CA,,26,Jacqui Irwin,Samuel Gallucci,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-26 House seat?; Will the Democratic Party win the CA-26 House seat?; Will another party win the CA-26 House seat?; Will A win the CA-26 House seat?; Will B win the CA-26 House seat?; Will C win the CA-26 House seat?; Will D win the CA-26 House seat?; Will E win the CA-26 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-27,Elections - US House District,CA,,27,George Whitesides,Jason Gibbs,George Whitesides,HOUSECA27-26-D,0.9,0.956,500.0,300.0,2027-11-03T15:00:00Z,active,ok,Jason Gibbs,HOUSECA27-26-R,0.044,0.099,300.0,500.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-27 House seat?; Will the Democratic Party win the CA-27 House seat?; Will another party win the CA-27 House seat?; Will A win the CA-27 House seat?; Will B win the CA-27 House seat?; Will C win the CA-27 House seat?; Will D win the CA-27 House seat?; Will E win the CA-27 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-CA-28,Elections - US House District,CA,,28,Judy Chu,April Verlato,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the CA-28 House seat?; Will the Democratic Party win the CA-28 House seat?; Will another party win the CA-28 House seat?; Will A win the CA-28 House seat?; Will B win the CA-28 House seat?; Will C win the CA-28 House seat?; Will D win the CA-28 House seat?; Will E win the CA-28 House seat?,8,,2026-09-08T12:45:01.517424+00:00
